name,aliases,ra_hours,dec_degrees,type,category
Andromeda Galaxy,M31|Messier 31|NGC 224,0.712,41.269,galaxy
Orion Nebula,M42|Messier 42|NGC 1976,5.583,-5.391,nebula
Pleiades,M45|Seven Sisters|Messier 45,3.783,24.117,cluster
Crab Nebula,M1|Messier 1|NGC 1952,5.575,22.017,nebula
Ring Nebula,M57|Messier 57|NGC 6720,18.888,33.029,nebula
Dumbbell Nebula,M27|Messier 27|NGC 6853,19.993,22.721,nebula
Hercules Cluster,M13|Messier 13|NGC 6205,16.695,36.460,cluster
Whirlpool Galaxy,M51|Messier 51|NGC 5194,13.498,47.195,galaxy
Pinwheel Galaxy,M101|Messier 101|NGC 5457,14.054,54.349,galaxy
Sombrero Galaxy,M104|Messier 104|NGC 4594,12.666,-11.623,galaxy
Triangulum Galaxy,M33|Messier 33|NGC 598,1.564,30.660,galaxy
Lagoon Nebula,M8|Messier 8|NGC 6523,18.061,-24.380,nebula
Eagle Nebula,M16|Messier 16|NGC 6611,18.312,-13.763,nebula
Omega Nebula,M17|Messier 17|Swan Nebula|NGC 6618,18.346,-16.171,nebula
Trifid Nebula,M20|Messier 20|NGC 6514,18.035,-23.032,nebula
Wild Duck Cluster,M11|Messier 11|NGC 6705,18.851,-6.267,cluster
Ptolemy Cluster,M7|Messier 7|NGC 6475,17.895,-34.817,cluster
Butterfly Cluster,M6|Messier 6|NGC 6405,17.671,-32.215,cluster
Beehive Cluster,M44|Praesepe|Messier 44|NGC 2632,8.667,19.983,cluster
Hyades,Mel 25,4.450,15.867,cluster
Double Cluster,NGC 869 and 884,2.333,57.133,cluster
Omega Centauri,NGC 5139,13.447,-47.479,cluster
47 Tucanae,NGC 104,0.400,-72.081,cluster
Virgo Cluster,M87 region,12.500,12.400,cluster
Leo Triplet,M65 M66 NGC 3628 region,11.317,13.083,galaxy
Wild Duck,M11|Messier 11,18.851,-6.267,cluster
Bode's Galaxy,M81|Messier 81|NGC 3031,9.927,69.065,galaxy
Cigar Galaxy,M82|Messier 82|NGC 3034,9.928,69.678,galaxy
Southern Pinwheel,M83|Messier 83|NGC 5236,13.616,-29.866,galaxy
Sunflower Galaxy,M63|Messier 63|NGC 5055,13.262,42.029,galaxy
Black Eye Galaxy,M64|Messier 64|NGC 4826,12.950,21.683,galaxy
Owl Nebula,M97|Messier 97|NGC 3587,11.247,55.017,nebula
Little Dumbbell,M76|Messier 76|NGC 650,1.703,51.575,nebula
Spiral Galaxy,M74|Messier 74|NGC 628,1.614,15.784,galaxy
Spindle Galaxy,M102|NGC 5866,15.100,55.767,galaxy
M2,Messier 2|NGC 7089,21.557,-0.823,cluster
M3,Messier 3|NGC 5272,13.703,28.377,cluster
M4,Messier 4|NGC 6121,16.393,-26.525,cluster
M5,Messier 5|NGC 5904,15.308,2.081,cluster
M9,Messier 9|NGC 6333,17.319,-18.516,cluster
M10,Messier 10|NGC 6254,16.955,-4.100,cluster
M12,Messier 12|NGC 6218,16.786,-1.950,cluster
M14,Messier 14|NGC 6402,17.627,-3.250,cluster
M15,Messier 15|NGC 7078,21.500,12.167,cluster
M19,Messier 19|NGC 6273,17.043,-26.267,cluster
M22,Messier 22|NGC 6656,18.606,-23.905,cluster
M28,Messier 28|NGC 6626,18.407,-24.867,cluster
M30,Messier 30|NGC 7099,21.673,-23.183,cluster
M53,Messier 53|NGC 5024,13.213,18.167,cluster
M54,Messier 54|NGC 6715,18.920,-30.483,cluster
M55,Messier 55|NGC 6809,19.667,-30.967,cluster
M56,Messier 56|NGC 6779,19.278,30.183,cluster
M62,Messier 62|NGC 6266,17.017,-30.117,cluster
M69,Messier 69|NGC 6637,18.523,-32.350,cluster
M70,Messier 70|NGC 6681,18.717,-32.300,cluster
M71,Messier 71|NGC 6838,19.897,18.783,cluster
M72,Messier 72|NGC 6981,20.893,-12.533,cluster
M75,Messier 75|NGC 6864,20.100,-21.917,cluster
M79,Messier 79|NGC 1904,5.404,-24.525,cluster
M80,Messier 80|NGC 6093,16.283,-22.983,cluster
M92,Messier 92|NGC 6341,17.283,43.133,cluster
M107,Messier 107|NGC 6171,16.543,-13.050,cluster
Sun,,0,0,star,solar_system
Moon,,0,0,satellite,solar_system
Mercury,,0,0,planet,solar_system
Venus,,0,0,planet,solar_system
Mars,Red Planet,0,0,planet,solar_system
Jupiter,,0,0,planet,solar_system
Saturn,,0,0,planet,solar_system
Uranus,,0,0,planet,solar_system
Neptune,,0,0,planet,solar_system
